data.000: | NEH: 32
data.001: | NEH: 1286
data.002: | NEH: 1365
data.003: | NEH: 1159
data.004: | NEH: 1325
data.005: | NEH: 1305
data.006: | NEH: 1228
data.007: | NEH: 1278
data.008: | NEH: 1223
data.009: | NEH: 1291
data.010: | NEH: 1151
data.011: | NEH: 1680
data.012: | NEH: 1729
data.013: | NEH: 1557
data.014: | NEH: 1439
data.015: | NEH: 1502
data.016: | NEH: 1453
data.017: | NEH: 1562
data.018: | NEH: 1609
data.019: | NEH: 1647
data.020: | NEH: 1653
data.021: | NEH: 2410
data.022: | NEH: 2150
data.023: | NEH: 2411
data.024: | NEH: 2262
data.025: | NEH: 2397
data.026: | NEH: 2349
data.027: | NEH: 2362
data.028: | NEH: 2249
data.029: | NEH: 2320
data.030: | NEH: 2277
data.031: | NEH: 2733
data.032: | NEH: 2843
data.033: | NEH: 2640
data.034: | NEH: 2782
data.035: | NEH: 2868
data.036: | NEH: 2850
data.037: | NEH: 2758
data.038: | NEH: 2721
data.039: | NEH: 2576
data.040: | NEH: 2790
data.041: | NEH: 3135
data.042: | NEH: 3032
data.043: | NEH: 2986
data.044: | NEH: 3198
data.045: | NEH: 3160
data.046: | NEH: 3178
data.047: | NEH: 3277
data.048: | NEH: 3123
data.049: | NEH: 3002
data.050: | NEH: 3257
data.051: | NEH: 4082
data.052: | NEH: 3921
data.053: | NEH: 3927
data.054: | NEH: 3969
data.055: | NEH: 3835
data.056: | NEH: 3914
data.057: | NEH: 3952
data.058: | NEH: 3938
data.059: | NEH: 3952
data.060: | NEH: 4079
data.061: | NEH: 5519
data.062: | NEH: 5348
data.063: | NEH: 5219
data.064: | NEH: 5023
data.065: | NEH: 5266
data.066: | NEH: 5139
data.067: | NEH: 5259
data.068: | NEH: 5120
data.069: | NEH: 5489
data.070: | NEH: 5341
data.071: | NEH: 5846
data.072: | NEH: 5453
data.073: | NEH: 5824
data.074: | NEH: 5929
data.075: | NEH: 5679
data.076: | NEH: 5375
data.077: | NEH: 5704
data.078: | NEH: 5760
data.079: | NEH: 6032
data.080: | NEH: 5918
data.081: | NEH: 6541
data.082: | NEH: 6523
data.083: | NEH: 6639
data.084: | NEH: 6557
data.085: | NEH: 6695
data.086: | NEH: 6664
data.087: | NEH: 6632
data.088: | NEH: 6739
data.089: | NEH: 6677
data.090: | NEH: 6677
data.091: | NEH: 10942
data.092: | NEH: 10716
data.093: | NEH: 11025
data.094: | NEH: 11057
data.095: | NEH: 10645
data.096: | NEH: 10458
data.097: | NEH: 10989
data.098: | NEH: 10829
data.099: | NEH: 10574
data.100: | NEH: 10807
data.101: | NEH: 11594
data.102: | NEH: 11675
data.103: | NEH: 11852
data.104: | NEH: 11803
data.105: | NEH: 11685
data.106: | NEH: 11629
data.107: | NEH: 11833
data.108: | NEH: 11913
data.109: | NEH: 11673
data.110: | NEH: 11869
data.111: | NEH: 26670
data.112: | NEH: 27232
data.113: | NEH: 26848
data.114: | NEH: 27055
data.115: | NEH: 26727
data.116: | NEH: 26992
data.117: | NEH: 26797
data.118: | NEH: 27138
data.119: | NEH: 26631
data.120: | NEH: 26984
